Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
Malcolm Brogdon,32,WAS,PG,18,13,447,86,194,0.443,15,48,0.313,71,146,0.486,0.482,62,70,0.886,17,56,73,71,10,5,31,26,249,0,,brogdma01
Khris Middleton,33,MIL,SF,20,7,470,93,190,0.489,28,76,0.368,65,114,0.57,0.563,35,42,0.833,5,73,78,95,16,3,32,46,249,0,,middlkh01
Trey Lyles,29,SAC,PF,36,2,724,83,207,0.401,49,142,0.345,34,65,0.523,0.519,31,42,0.738,39,133,172,33,21,17,23,45,246,0,,lylestr01
Nick Richards,27,2TM,C,26,13,567,86,149,0.577,0,2,0,86,147,0.585,0.577,74,105,0.705,68,146,214,31,8,30,43,65,246,0,,richani01
Bogdan Bogdanović,32,ATL,SG,24,0,598,83,224,0.371,44,146,0.301,39,78,0.5,0.469,30,34,0.882,12,54,66,49,20,6,37,57,240,0,,bogdabo01
Talen Horton-Tucker,24,CHI,SG,39,0,459,84,184,0.457,31,81,0.383,53,103,0.515,0.541,35,48,0.729,14,54,68,53,15,8,26,40,234,0,,hortota01
Johnny Juzang,23,UTA,SG,32,5,571,79,189,0.418,54,135,0.4,25,54,0.463,0.561,22,25,0.88,19,69,88,33,12,5,16,62,234,0,,juzanjo01
Isaiah Stewart,23,DET,C,42,3,865,96,184,0.522,8,33,0.242,88,151,0.583,0.543,33,39,0.846,86,164,250,73,18,56,39,108,233,0,,stewais01
Jeremiah Robinson-Earl,24,NOP,PF,39,6,715,87,195,0.446,27,90,0.3,60,105,0.571,0.515,25,29,0.862,70,119,189,51,28,6,28,51,226,0,,robinje02
Ricky Council IV,23,PHI,SF,36,3,515,74,184,0.402,21,78,0.269,53,106,0.5,0.459,56,67,0.836,24,60,84,34,12,6,20,30,225,0,,councri01
Matas Buzelis,20,CHI,SF,45,0,579,80,207,0.386,34,100,0.34,46,107,0.43,0.469,30,37,0.811,29,92,121,20,11,35,26,60,224,0,,buzelma01
Jamal Shead,22,TOR,PG,42,0,693,86,211,0.408,33,94,0.351,53,117,0.453,0.486,18,25,0.72,10,36,46,142,24,6,62,74,223,0,,sheadja01
Eric Gordon,36,PHI,SG,33,10,641,72,171,0.421,46,116,0.397,26,55,0.473,0.556,32,43,0.744,6,30,36,51,21,10,23,28,222,0,,gordoer01
Jose Alvarado,26,NOP,PG,24,7,528,74,189,0.392,51,125,0.408,23,64,0.359,0.526,22,28,0.786,12,36,48,98,32,7,27,47,221,0,,alvarjo01
Vasilije Micić,31,CHO,PG,32,12,662,79,232,0.341,36,108,0.333,43,124,0.347,0.418,27,33,0.818,17,55,72,110,14,0,66,38,221,0,,micicva01
Ajay Mitchell,22,OKC,SG,34,1,561,84,166,0.506,22,51,0.431,62,115,0.539,0.572,28,33,0.848,17,50,67,57,24,3,28,59,218,0,,mitchaj01
Justin Champagnie,23,WAS,SF,27,13,539,84,167,0.503,31,80,0.388,53,87,0.609,0.596,16,25,0.64,43,88,131,28,28,15,22,53,215,0,,champju01
Jusuf Nurkić,30,PHO,C,25,23,592,74,163,0.454,19,59,0.322,55,104,0.529,0.512,48,69,0.696,46,183,229,47,23,16,57,78,215,0,,nurkiju01
Shake Milton,28,2TM,SG,35,1,565,77,173,0.445,30,82,0.366,47,91,0.516,0.532,30,39,0.769,18,45,63,73,15,2,24,49,214,0,,miltosh01
Jared Butler,24,WAS,PG,31,0,345,83,170,0.488,15,40,0.375,68,130,0.523,0.532,31,40,0.775,14,27,41,79,12,5,27,37,212,0,,butleja02
Marcus Sasser,24,DET,PG,35,0,488,80,171,0.468,33,89,0.371,47,82,0.573,0.564,18,20,0.9,12,30,42,74,22,4,29,44,211,0,,sassema01
Dean Wade,28,CLE,PF,35,26,799,73,179,0.408,52,149,0.349,21,30,0.7,0.553,13,25,0.52,35,143,178,55,30,16,11,68,211,0,,wadede01
Luke Kornet,29,BOS,C,41,6,699,84,132,0.636,0,0,,84,132,0.636,0.636,42,56,0.75,94,119,213,61,21,41,19,56,210,0,,kornelu01
Terance Mann,28,LAC,SG,33,12,660,82,180,0.456,24,68,0.353,58,112,0.518,0.522,21,30,0.7,27,69,96,56,27,10,22,63,209,0,,mannte01
Lindy Waters III,27,GSW,SG,37,9,649,76,202,0.376,49,146,0.336,27,56,0.482,0.498,8,11,0.727,16,80,96,42,21,10,17,55,209,0,,waterli01
Kyle Filipowski,21,UTA,C,34,8,628,78,162,0.481,21,70,0.3,57,92,0.62,0.546,30,49,0.612,36,130,166,60,20,4,32,65,207,0,,filipky01
Herbert Jones,26,NOP,SF,20,20,648,75,172,0.436,22,72,0.306,53,100,0.53,0.5,33,40,0.825,22,56,78,65,37,9,35,66,205,0,,joneshe01
Josh Okogie,26,2TM,SG,30,1,459,72,151,0.477,24,60,0.4,48,91,0.527,0.556,35,49,0.714,39,53,92,22,36,13,22,36,203,0,,okogijo01
Julian Phillips,21,CHI,SF,46,3,609,72,164,0.439,28,87,0.322,44,77,0.571,0.524,29,41,0.707,42,52,94,19,20,11,19,60,201,0,,phillju01
Neemias Queta,25,BOS,C,38,5,569,84,126,0.667,0,2,0,84,124,0.677,0.667,32,44,0.727,55,91,146,25,13,28,25,70,200,0,,quetane01
Andre Drummond,31,PHI,C,28,16,538,81,159,0.509,1,11,0.091,80,148,0.541,0.513,35,61,0.574,70,144,214,16,32,10,47,68,198,0,,drumman01
Seth Curry,34,CHO,SG,36,8,486,74,150,0.493,36,78,0.462,38,72,0.528,0.613,13,15,0.867,15,35,50,19,15,5,14,34,197,0,,curryse01
Drew Eubanks,27,UTA,C,35,3,532,79,133,0.594,3,5,0.6,76,128,0.594,0.605,35,54,0.648,40,124,164,41,10,28,31,44,196,0,,eubandr01
Vit Krejci,24,ATL,PG,31,14,611,70,162,0.432,40,106,0.377,30,56,0.536,0.556,15,21,0.714,12,61,73,85,23,15,28,56,195,0,,krejcvi01
Day'Ron Sharpe,23,BRK,C,25,0,440,77,159,0.484,4,27,0.148,73,132,0.553,0.497,37,49,0.755,74,84,158,35,19,13,30,47,195,0,,sharpda01
Kevon Looney,28,GSW,C,39,6,617,86,165,0.521,0,1,0,86,164,0.524,0.521,22,49,0.449,111,154,265,68,29,12,23,84,194,0,,looneke01
Ausar Thompson,22,DET,SF,24,13,473,81,162,0.5,7,32,0.219,74,130,0.569,0.522,25,42,0.595,38,77,115,39,37,10,35,60,194,0,,thompau01
Kenrich Williams,30,OKC,PF,34,0,477,74,149,0.497,28,75,0.373,46,74,0.622,0.591,15,17,0.882,28,80,108,31,20,5,18,54,191,0,,willike04
Isaiah Collier,20,UTA,PG,36,11,773,76,208,0.365,15,70,0.214,61,138,0.442,0.401,23,38,0.605,12,87,99,176,30,8,96,74,190,0,,colliis01
Gabe Vincent,28,LAL,PG,39,5,781,73,184,0.397,39,122,0.32,34,62,0.548,0.503,5,10,0.5,11,38,49,49,28,9,25,81,190,0,,vincega01
Ben Simmons,28,BRK,PG,30,24,760,86,155,0.555,0,0,,86,155,0.555,0.555,16,23,0.696,27,133,160,213,24,15,84,74,188,0,,simmobe01
Ja'Kobe Walter,20,TOR,SG,27,7,496,69,175,0.394,25,84,0.298,44,91,0.484,0.466,25,38,0.658,20,45,65,38,14,6,21,51,188,0,,walteja01
Jamison Battle,23,TOR,SF,34,0,428,65,142,0.458,44,106,0.415,21,36,0.583,0.613,12,14,0.857,19,43,62,31,4,4,12,36,186,0,,battlja01
Monte Morris,29,PHO,PG,36,0,483,66,155,0.426,20,66,0.303,46,89,0.517,0.49,34,40,0.85,10,45,55,62,15,3,16,19,186,0,,morrimo01
Lonzo Ball,27,CHI,PG,26,5,542,62,164,0.378,48,138,0.348,14,26,0.538,0.524,11,14,0.786,13,75,88,91,41,14,30,41,183,0,,balllo01
Tre Mann,23,CHO,PG,13,0,319,70,161,0.435,24,60,0.4,46,101,0.455,0.509,19,21,0.905,12,26,38,39,7,4,25,24,183,0,,manntr01
Jonathan Mogbo,23,TOR,PF,36,6,589,70,151,0.464,8,25,0.32,62,126,0.492,0.49,35,48,0.729,63,86,149,56,26,16,31,66,183,0,,mogbojo01
Jett Howard,21,ORL,SF,39,0,432,64,166,0.386,38,118,0.322,26,48,0.542,0.5,15,18,0.833,17,33,50,24,5,6,18,39,181,0,,howarje01
Donovan Clingan,20,POR,C,33,10,554,74,142,0.521,6,22,0.273,68,120,0.567,0.542,25,34,0.735,90,130,220,25,16,54,41,84,179,0,,clingdo01
Kyle Anderson,31,GSW,PF,33,3,503,70,158,0.443,19,51,0.373,51,107,0.477,0.503,18,27,0.667,25,78,103,77,26,18,18,37,177,0,,anderky01
Svi Mykhailiuk,27,UTA,SF,17,8,319,63,145,0.434,38,105,0.362,25,40,0.625,0.566,11,14,0.786,6,31,37,29,13,5,29,22,175,0,,mykhasv01
Mason Plumlee,34,PHO,C,44,18,772,67,115,0.583,0,2,0,67,113,0.593,0.583,40,64,0.625,73,206,279,81,21,32,38,95,174,0,,plumlma01
Thomas Bryant,27,2TM,C,29,1,380,66,120,0.55,23,56,0.411,43,64,0.672,0.646,19,20,0.95,37,68,105,19,12,18,10,25,174,0,,bryanth01
Gary Payton II,32,GSW,SG,34,8,456,75,134,0.56,10,43,0.233,65,91,0.714,0.597,12,19,0.632,36,67,103,43,22,11,21,51,172,0,,paytoga02
Kris Murray,24,POR,SF,38,0,545,69,149,0.463,16,60,0.267,53,89,0.596,0.517,14,30,0.467,42,45,87,36,14,8,22,36,168,0,,murrakr01
Grant Williams,26,CHO,PF,16,7,479,54,123,0.439,27,74,0.365,27,49,0.551,0.549,31,37,0.838,18,64,82,37,18,13,28,46,166,0,,willigr01
Marcus Smart,30,MEM,PG,18,6,382,53,142,0.373,29,87,0.333,24,55,0.436,0.475,30,36,0.833,14,28,42,69,23,6,34,30,165,0,,smartma01
Chet Holmgren,22,OKC,C,10,10,265,56,111,0.505,14,37,0.378,42,74,0.568,0.568,38,49,0.776,16,71,87,20,8,26,23,18,164,0,,holmgch01
Ben Sheppard,23,IND,SG,31,7,626,59,150,0.393,37,104,0.356,22,46,0.478,0.517,9,10,0.9,19,58,77,32,17,8,11,70,164,0,,sheppbe01
Dalen Terry,22,CHI,SG,44,1,564,59,131,0.45,18,49,0.367,41,82,0.5,0.519,28,40,0.7,25,42,67,49,22,10,35,67,164,0,,terryda01
Zach Collins,27,SAS,C,34,4,413,59,129,0.457,13,45,0.289,46,84,0.548,0.508,31,35,0.886,37,62,99,50,14,14,23,67,162,0,,colliza01
Isaac Okoro,24,CLE,SG,28,16,551,56,131,0.427,31,78,0.397,25,53,0.472,0.546,18,25,0.72,22,36,58,46,19,11,11,57,161,0,,okorois01
Daniel Theis,32,NOP,C,37,9,603,61,126,0.484,9,36,0.25,52,90,0.578,0.52,29,35,0.829,43,116,159,59,17,18,25,67,160,0,,theisda01
Tidjane Salaün,19,CHO,PF,34,8,625,54,170,0.318,30,107,0.28,24,63,0.381,0.406,21,31,0.677,35,104,139,37,20,6,29,44,159,0,,salauti01
Andre Jackson Jr.,23,MIL,SG,42,34,726,63,138,0.457,22,60,0.367,41,78,0.526,0.536,7,13,0.538,46,87,133,60,25,11,43,93,155,0,,jacksan01
KJ Martin,24,PHI,PF,24,7,480,61,99,0.616,8,21,0.381,53,78,0.679,0.657,24,29,0.828,21,51,72,19,11,16,12,62,154,0,,martike04
Alex Caruso,30,OKC,SG,27,0,533,59,154,0.383,26,89,0.292,33,65,0.508,0.468,9,12,0.75,18,58,76,69,49,14,18,52,153,0,,carusal01
Nick Smith Jr.,20,CHO,SG,25,6,375,58,153,0.379,30,88,0.341,28,65,0.431,0.477,4,5,0.8,4,38,42,39,8,5,19,19,150,0,,smithni01
Precious Achiuwa,25,NYK,C,26,1,488,64,118,0.542,7,17,0.412,57,101,0.564,0.572,14,27,0.519,45,95,140,26,24,21,20,37,149,0,,achiupr01
Larry Nance Jr.,32,ATL,PF,16,3,311,57,104,0.548,26,54,0.481,31,50,0.62,0.673,7,8,0.875,17,51,68,25,16,11,12,24,147,0,,nancela02
Kelly Olynyk,33,TOR,C,21,1,320,49,96,0.51,17,35,0.486,32,61,0.525,0.599,32,41,0.78,19,53,72,49,15,8,31,47,147,0,,olynyke01
Immanuel Quickley,25,TOR,PG,9,9,256,48,127,0.378,20,58,0.345,28,69,0.406,0.457,30,32,0.938,1,19,20,55,6,1,16,16,146,0,,quickim01
Jordan Miller,25,LAC,SF,27,0,368,54,126,0.429,8,36,0.222,46,90,0.511,0.46,26,33,0.788,22,30,52,30,15,5,22,21,142,0,,millejo02
Max Strus,28,CLE,SF,18,5,435,51,123,0.415,36,97,0.371,15,26,0.577,0.561,4,5,0.8,16,60,76,52,8,7,18,35,142,0,,strusma01
Alec Burks,33,MIA,SG,25,0,402,43,104,0.413,33,77,0.429,10,27,0.37,0.572,21,26,0.808,7,43,50,26,13,4,9,16,140,0,,burksal01
Nicolas Batum,36,LAC,PF,45,1,785,46,125,0.368,37,103,0.359,9,22,0.409,0.516,10,13,0.769,29,97,126,62,29,18,20,70,139,0,,batumni01
Moussa Diabaté,23,CHO,C,36,4,646,59,98,0.602,0,0,,59,98,0.602,0.602,19,35,0.543,104,131,235,24,24,27,31,58,137,0,,diabamo01
Oso Ighodaro,22,PHO,PF,36,2,581,58,104,0.558,0,2,0,58,102,0.569,0.558,19,35,0.543,34,93,127,36,17,13,21,61,135,0,,ighodos01
Charles Bassey,24,SAS,C,30,0,312,58,99,0.586,0,0,,58,99,0.586,0.586,18,29,0.621,47,82,129,12,12,28,21,42,134,0,,bassech01
Malaki Branham,21,SAS,SG,28,0,281,48,112,0.429,20,52,0.385,28,60,0.467,0.518,17,20,0.85,3,28,31,26,7,2,28,16,133,0,,branhma01
Bones Hyland,24,LAC,PG,19,0,215,41,110,0.373,29,77,0.377,12,33,0.364,0.505,21,24,0.875,5,19,24,28,17,4,23,23,132,0,,hylanbo01
Ryan Rollins,22,MIL,PG,28,5,332,51,106,0.481,16,44,0.364,35,62,0.565,0.557,13,16,0.813,9,36,45,32,21,10,24,40,131,0,,rolliry01
Mo Bamba,26,LAC,C,28,2,352,48,103,0.466,15,50,0.3,33,53,0.623,0.539,17,25,0.68,26,94,120,16,9,28,19,49,128,0,,bambamo01
Aaron Holiday,28,HOU,PG,32,0,349,43,103,0.417,25,66,0.379,18,37,0.486,0.539,15,17,0.882,6,25,31,35,13,3,15,30,126,0,,holidaa01
Tosan Evbuomwan,23,BRK,SF,13,0,311,45,101,0.446,9,33,0.273,36,68,0.529,0.49,26,35,0.743,16,40,56,18,9,4,27,24,125,0,,evbuoto01
Pelle Larsson,23,MIA,SG,29,1,375,44,95,0.463,14,45,0.311,30,50,0.6,0.537,20,31,0.645,13,30,43,27,13,2,12,52,122,0,,larsspe01
Olivier-Maxence Prosper,22,DAL,PF,36,1,321,42,98,0.429,9,33,0.273,33,65,0.508,0.474,29,48,0.604,31,49,80,20,12,3,9,16,122,0,,prospol01
David Roddy,23,ATL,PF,26,3,343,44,92,0.478,16,43,0.372,28,49,0.571,0.565,18,22,0.818,11,59,70,30,12,8,20,18,122,0,,roddyda01
Jaxson Hayes,24,LAL,C,23,3,373,47,73,0.644,0,2,0,47,71,0.662,0.644,26,35,0.743,31,58,89,18,10,17,13,45,120,0,,hayesja02
Sandro Mamukelashvili,25,SAS,PF,27,0,236,42,78,0.538,19,47,0.404,23,31,0.742,0.66,17,24,0.708,18,52,70,15,7,7,11,18,120,0,,mamuksa01
Bruce Brown,28,TOR,PG,13,0,264,46,100,0.46,8,25,0.32,38,75,0.507,0.5,18,21,0.857,14,41,55,21,12,2,18,22,118,0,,brownbr01
Kawhi Leonard,33,LAC,SF,8,8,185,49,102,0.48,10,34,0.294,39,68,0.574,0.529,10,12,0.833,5,23,28,15,9,1,11,6,118,0,,leonaka01
DeAndre Jordan,36,DEN,C,33,2,390,52,80,0.65,0,0,,52,80,0.65,0.65,12,29,0.414,43,108,151,26,10,16,24,43,116,0,,jordade01
Keaton Wallace,25,ATL,PG,18,3,321,43,101,0.426,20,53,0.377,23,48,0.479,0.525,9,9,1,4,27,31,43,19,6,21,21,115,0,,wallake01
Jabari Walker,22,POR,SF,33,1,349,45,100,0.45,5,31,0.161,40,69,0.58,0.475,14,24,0.583,29,68,97,16,19,5,18,42,109,0,,walkeja01
Paul Reed,25,DET,C,25,0,245,41,72,0.569,5,16,0.313,36,56,0.643,0.604,21,25,0.84,16,36,52,25,27,14,12,37,108,0,,reedpa01
Trendon Watford,24,BRK,PF,13,0,209,35,79,0.443,8,26,0.308,27,53,0.509,0.494,30,35,0.857,4,32,36,15,5,4,16,30,108,0,,watfotr01
Reggie Jackson,34,PHI,PG,25,1,298,40,101,0.396,21,59,0.356,19,42,0.452,0.5,6,7,0.857,5,26,31,37,12,3,17,27,107,0,,jacksre01
Rob Dillingham,20,MIN,PG,21,0,215,44,92,0.478,18,37,0.486,26,55,0.473,0.576,0,2,0,4,18,22,38,5,0,26,16,106,0,,dilliro01
Justin Edwards,21,PHI,SF,15,0,305,40,87,0.46,18,53,0.34,22,34,0.647,0.563,8,13,0.615,15,27,42,14,10,4,13,28,106,0,,edwarju01
Kyle Lowry,38,PHI,PG,26,12,512,32,91,0.352,22,68,0.324,10,23,0.435,0.473,20,25,0.8,8,39,47,70,27,9,19,49,106,0,,lowryky01
Doug McDermott,33,SAC,SF,29,3,248,36,84,0.429,31,71,0.437,5,13,0.385,0.613,3,5,0.6,2,15,17,4,4,1,5,25,106,0,,mcderdo01
Jaylin Williams,22,OKC,PF,18,5,291,39,94,0.415,24,66,0.364,15,28,0.536,0.543,4,4,1,21,65,86,40,8,10,12,30,106,0,,willija07
Kevin Love,36,MIA,PF,18,6,200,35,99,0.354,21,58,0.362,14,41,0.341,0.46,13,19,0.684,17,58,75,19,14,2,13,16,104,0,,loveke01
Maxi Kleber,33,DAL,PF,34,4,637,37,96,0.385,13,49,0.265,24,47,0.511,0.453,16,21,0.762,25,70,95,43,9,17,23,66,103,0,,klebima01
Trevelin Queen,27,ORL,SG,20,2,326,39,99,0.394,16,52,0.308,23,47,0.489,0.475,9,11,0.818,16,18,34,30,22,8,18,31,103,0,,queentr01
Reed Sheppard,20,HOU,PG,32,0,360,39,124,0.315,20,73,0.274,19,51,0.373,0.395,5,6,0.833,10,30,40,37,17,10,19,28,103,0,,sheppre01
Pat Connaughton,32,MIL,SG,24,0,363,37,92,0.402,16,54,0.296,21,38,0.553,0.489,12,16,0.75,13,56,69,42,4,6,13,27,102,0,,connapa01
Quenton Jackson,26,IND,PG,18,7,254,39,76,0.513,9,24,0.375,30,52,0.577,0.572,15,21,0.714,10,17,27,31,9,5,11,32,102,0,,jacksqu01
Tre Jones,25,SAS,PG,25,0,407,38,82,0.463,7,23,0.304,31,59,0.525,0.506,19,25,0.76,14,41,55,93,16,5,19,30,102,0,,jonestr01
Cody Williams,20,UTA,SG,26,12,545,36,120,0.3,15,63,0.238,21,57,0.368,0.363,14,22,0.636,13,44,57,35,13,10,22,49,101,0,,willico04
Steven Adams,31,HOU,C,31,0,352,38,63,0.603,0,0,,38,63,0.603,0.603,22,53,0.415,75,75,150,34,8,13,31,30,98,0,,adamsst01
Cam Reddish,25,LAL,SF,30,8,542,36,85,0.424,13,45,0.289,23,40,0.575,0.5,13,21,0.619,15,46,61,22,30,10,12,42,98,0,,reddica01
Robert Williams,27,POR,C,17,3,294,41,63,0.651,1,3,0.333,40,60,0.667,0.659,15,17,0.882,30,67,97,17,11,29,15,25,98,0,,williro04
Caleb Houstan,22,ORL,SF,33,5,405,30,96,0.313,26,84,0.31,4,12,0.333,0.448,9,9,1,13,20,33,15,7,3,5,35,95,0,,houstca01
Marvin Bagley III,25,WAS,C,19,1,166,38,71,0.535,2,10,0.2,36,61,0.59,0.549,15,23,0.652,27,29,56,7,7,5,11,12,93,0,,baglema01
Jae'Sean Tate,29,HOU,SF,26,1,274,35,75,0.467,6,19,0.316,29,56,0.518,0.507,17,27,0.63,24,34,58,19,13,2,12,50,93,0,,tateja01
Blake Wesley,21,SAS,SG,29,0,278,36,80,0.45,4,21,0.19,32,59,0.542,0.475,15,21,0.714,6,17,23,54,10,3,26,14,91,0,,weslebl01
Aaron Nesmith,25,IND,SF,10,7,196,31,57,0.544,11,22,0.5,20,35,0.571,0.64,15,17,0.882,5,30,35,9,4,2,9,29,88,0,,nesmiaa01
Dru Smith,27,MIA,SG,14,1,268,31,61,0.508,16,30,0.533,15,31,0.484,0.639,9,12,0.75,12,24,36,23,21,6,17,30,87,0,,smithdr01
Ousmane Dieng,21,OKC,C,25,0,260,31,83,0.373,13,48,0.271,18,35,0.514,0.452,11,16,0.688,11,44,55,18,13,5,6,23,86,0,,diengou01
Gui Santos,22,GSW,PF,21,1,251,31,65,0.477,19,43,0.442,12,22,0.545,0.623,4,8,0.5,21,30,51,24,8,3,11,28,85,0,,santogu01
Rayan Rupert,20,POR,SG,31,0,265,31,75,0.413,10,34,0.294,21,41,0.512,0.48,12,16,0.75,20,18,38,16,8,2,15,19,84,0,,ruperra01
Jeff Dowtin,27,PHI,PG,21,0,244,32,77,0.416,6,22,0.273,26,55,0.473,0.455,12,17,0.706,3,24,27,33,8,4,3,13,82,0,,dowtije01
Gary Harris,30,ORL,SG,20,2,326,29,72,0.403,19,54,0.352,10,18,0.556,0.535,4,8,0.5,10,15,25,10,13,5,9,14,81,0,,harriga01
Adem Bona,21,PHI,C,29,1,295,29,40,0.725,0,0,,29,40,0.725,0.725,22,33,0.667,25,51,76,8,5,20,18,51,80,0,,bonaad01
Antonio Reeves,24,NOP,SG,18,0,166,31,76,0.408,11,38,0.289,20,38,0.526,0.48,7,8,0.875,6,12,18,11,6,0,5,7,80,0,,reevean01
Isaiah Wong,24,CHO,SG,14,0,174,26,69,0.377,6,22,0.273,20,47,0.426,0.42,21,30,0.7,13,12,25,20,8,0,12,14,79,0,,wongis01
Johnny Davis,22,WAS,SG,31,0,221,32,74,0.432,7,27,0.259,25,47,0.532,0.48,7,11,0.636,9,26,35,10,14,6,5,18,78,0,,davisjo06
Josh Minott,22,MIN,SF,28,0,207,31,65,0.477,7,28,0.25,24,37,0.649,0.531,9,11,0.818,7,25,32,13,12,9,7,26,78,0,,minotjo01
